Symbol,CompanyName,Sector,MarketCap,PE_Ratio,EPS,ROE,DebtToEquity,Price,YearHigh,YearLow,AvgVolume
MMM,3M Company,Industrials,82440421376,21.497223,7.2,0.9476,316.755,154.78,164.15,121.98,3048465
AOS,A. O. Smith Corporation,Industrials,9768432640,19.445683,3.59,0.27603,18.035,69.81,80.26,58.83,1131592
ABT,Abbott Laboratories,Healthcare,225406828544,16.2701,7.96,,26.501,129.51,141.23,110.86,5846678
ABBV,AbbVie Inc.,Healthcare,409947504640,111.03349,2.09,1.1285399,,232.06,244.81,163.81,5430160
ACN,Accenture plc,Technology,150185230336,19.916119,12.16,0.25509,25.38,242.18,398.35,229.4,4951140
ADBE,Adobe Inc.,Technology,143747235840,21.408976,16.04,0.52875,56.542,343.4,557.9,327.5,4295895
AMD,"Advanced Micro Devices, Inc.",Technology,390391267328,144.91566,1.66,0.04699,6.513,240.56,242.88,76.48,62926679
AES,The AES Corporation,Utilities,10381682688,11.076923,1.3,0.01742,313.243,14.4,17.37,9.46,10418389
AFL,Aflac Incorporated,Financial Services,58173620224,24.497747,4.44,0.09154,55.055,108.77,115.43,96.95,2370956
A,"Agilent Technologies, Inc.",Healthcare,40540561408,33.411213,4.28,0.19881001,56.421,143.0,153.84,96.43,1665307
APD,"Air Products and Chemicals, Inc.",Basic Materials,56575361024,36.109375,7.04,0.09336001,103.39,254.21,341.14,243.69,962651
ABNB,"Airbnb, Inc.",Consumer Cyclical,77086588928,30.876215,4.12,0.33262002,29.324,127.21,163.93,99.88,4928535
AKAM,"Akamai Technologies, Inc.",Technology,10646376448,26.23675,2.83,0.092080005,117.988,74.25,105.98,67.51,1883634
ALB,Albemarle Corporation,Basic Materials,11314036736,,-9.33,-0.081070006,35.682,96.14,113.91,49.43,4258289
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,13099425792,,-0.13,0.00784,62.825,76.73,121.2,67.37,1567721
ALGN,"Align Technology, Inc.",Healthcare,9780585472,22.792229,5.92,0.1141,3.144,134.93,246.19,122.0,1651871
ALLE,Allegion plc,Industrials,15278105600,24.683773,7.21,0.38994,124.847,177.97,180.34,116.57,902075
LNT,Alliant Energy Corporation,Utilities,17631303680,21.169752,3.24,0.119399995,158.251,68.59,69.16,56.08,1844828
ALL,The Allstate Corporation,Financial Services,51612786688,9.115239,21.26,0.27005,33.705,193.79,215.7,176.0,1429256
GOOGL,Alphabet Inc.,Communication Services,3066070827008,27.321617,9.39,0.34829,11.481,256.55,257.33,140.53,34442312
GOOG,Alphabet Inc.,Communication Services,3066070564864,27.400852,9.38,0.34829,11.481,257.02,257.88,142.66,22237262
MO,"Altria Group, Inc.",Consumer Defensive,109276905472,12.45648,5.17,,,64.4,68.6,49.16,8118551
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2308739956736,33.0,6.56,0.2477,47.808,216.48,242.52,161.38,43801300
AMCR,Amcor plc,Consumer Cyclical,18813132800,25.46875,0.32,0.066020004,130.417,8.15,11.24,7.81,23433460
AEE,Ameren Corporation,Utilities,28579624960,23.177633,4.56,0.102189995,160.58,105.69,106.73,85.27,1550339
AEP,"American Electric Power Company, Inc.",Utilities,63009517568,17.27566,6.82,0.13013,150.555,117.82,120.46,89.91,3381742
AXP,American Express Company,Financial Services,240739876864,23.470785,14.89,0.33935001,185.273,349.48,350.22,220.43,2575046
AIG,"American International Group, Inc.",Financial Services,43040559104,14.521496,5.35,0.07604,22.293,77.69,88.07,69.24,4517129
AMT,American Tower Corporation,Real Estate,90409951232,36.08972,5.35,0.24281,431.469,193.08,234.33,172.51,2817043
AWK,"American Water Works Company, Inc.",Utilities,28373182464,26.156473,5.56,0.10396,141.097,145.43,155.5,118.74,1329970
AMP,"Ameriprise Financial, Inc.",Financial Services,44560285696,14.729822,32.09,0.58239,57.793,472.68,582.05,396.14,489681
AME,"AMETEK, Inc.",Industrials,43278458880,30.224194,6.2,0.14639,21.164,187.39,198.33,145.02,1233515
AMGN,Amgen Inc.,Healthcare,163301294080,24.82242,12.22,0.99139,756.651,303.33,335.88,253.3,2273757
APH,Amphenol Corporation,Technology,155875000320,50.662697,2.52,0.31049,69.505,127.67,128.12,56.45,8557273
ADI,"Analog Devices, Inc.",Technology,121129263104,62.492386,3.94,0.05652,25.541,246.22,258.13,158.65,3462023
AON,Aon plc,Financial Services,74736173056,28.98989,11.87,0.37410998,224.725,344.11,412.97,323.73,1274582
APA,APA Corporation,Energy,8057350656,7.7820067,2.89,0.20436001,67.565,22.49,25.83,13.58,7171956
APO,"Apollo Global Management, Inc.",Financial Services,71612030976,23.356342,5.36,0.16735001,102.676,125.19,189.49,102.58,3487168
AAPL,Apple Inc.,Technology,3891743686656,39.854103,6.58,1.49814,154.486,262.24,264.38,169.21,54992614
AMAT,"Applied Materials, Inc.",Technology,181738045440,27.255676,8.37,0.35634997,34.67,228.13,232.07,123.74,8266134
APTV,Aptiv PLC,Consumer Cyclical,18161168384,18.868778,4.42,0.094639994,83.689,83.4,88.8,47.19,2325598
ACGL,Arch Capital Group Ltd.,Financial Services,32458969088,8.993795,9.67,0.17087,11.84,86.97,108.73,82.49,2176731
ADM,Archer-Daniels-Midland Company,Consumer Defensive,30427813888,27.473913,2.3,0.0482,46.798,63.19,64.57,40.98,3678885
ANET,Arista Networks Inc,Technology,184105631744,57.44314,2.55,0.33638,,146.48,162.68,59.43,9196979
AJG,Arthur J. Gallagher & Co.,Financial Services,71902134272,42.18429,6.62,0.09507,58.011,279.26,351.23,275.56,1474507
AIZ,"Assurant, Inc.",Financial Services,10553543680,15.1777935,13.78,0.13654,37.909,209.15,230.55,174.97,377704
T,AT&T Inc.,Communication Services,188341157888,14.914286,1.75,0.11529,123.191,26.1,29.79,21.05,34200839
ATO,Atmos Energy Corporation,Utilities,28531460096,24.58368,7.23,0.09057,67.241,177.74,179.7,136.05,839515
